Date	Field 1	Field 2
4/11/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
4/12/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
4/13/2026	6:00pm	6:00pm
4/14/2026	6:00pm	6:00pm
4/15/2026	6:00pm	6:00pm
4/16/2026	6:00pm	6:00pm
4/17/2026	6:00pm	6:00pm
4/18/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
4/19/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
4/20/2026	6:00pm	6:00pm
4/21/2026	6:00pm	6:00pm
4/22/2026	6:00pm	6:00pm
4/23/2026	6:00pm	6:00pm
4/24/2026	6:00pm	6:00pm
4/25/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
4/26/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
4/27/2026	6:00pm	6:00pm
4/28/2026	6:00pm	6:00pm
4/29/2026	6:00pm	6:00pm
4/30/2026	6:00pm	6:00pm
5/1/2026	6:00pm	6:00pm
5/2/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/3/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/4/2026	6:00pm	6:00pm
5/5/2026	6:00pm	6:00pm
5/6/2026	6:00pm	6:00pm
5/7/2026	6:00pm	6:00pm
5/8/2026	6:00pm	6:00pm
5/9/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/10/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/11/2026	6:00pm	6:00pm
5/12/2026	6:00pm	6:00pm
5/13/2026	6:00pm	6:00pm
5/14/2026	6:00pm	6:00pm
5/15/2026	6:00pm	6:00pm
5/16/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/17/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/18/2026	6:00pm	6:00pm
5/19/2026	6:00pm	6:00pm
5/20/2026	6:00pm	6:00pm
5/21/2026	6:00pm	6:00pm
5/22/2026	6:00pm	6:00pm
5/23/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/24/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/25/2026	6:00pm	6:00pm
5/26/2026	6:00pm	6:00pm
5/27/2026	6:00pm	6:00pm
5/28/2026	6:00pm	6:00pm
5/29/2026	6:00pm	6:00pm
5/30/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
5/31/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
6/1/2026	6:00pm	6:00pm
6/2/2026	6:00pm	6:00pm
6/3/2026	6:00pm	6:00pm
6/4/2026	6:00pm	6:00pm
6/5/2026	6:00pm	6:00pm
6/6/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
6/7/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
6/8/2026	6:00pm	6:00pm
6/9/2026	6:00pm	6:00pm
6/10/2026	6:00pm	6:00pm
6/11/2026	6:00pm	6:00pm
6/12/2026	6:00pm	6:00pm
6/13/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
6/14/2026	9:00am, 11:00am, 1:00pm, 3:00pm	9:00am, 11:00am, 1:00pm, 3:00pm
6/15/2026	6:00pm	6:00pm
6/16/2026	6:00pm	6:00pm
6/17/2026	6:00pm	6:00pm
6/18/2026	6:00pm	6:00pm
6/19/2026	6:00pm	6:00pm
